2021-02-14 13:06:02 status unpacked libudev1:amd64 241-7~deb10u5
2021-02-14 13:06:02 status half-installed libudev1:amd64 241-7~deb10u5
2021-02-14 13:06:02 status unpacked libudev1:amd64 241-7~deb10u6
2021-02-14 13:06:02 startup packages configure
2021-02-14 13:06:02 configure libudev1:amd64 241-7~deb10u6 <none>
2021-02-14 13:06:02 status unpacked libudev1:amd64 241-7~deb10u6
2021-02-14 13:06:02 status half-configured libudev1:amd64 241-7~deb10u6
2021-02-14 13:06:02 status installed libudev1:amd64 241-7~deb10u6
2021-02-14 13:06:02 startup archives unpack
2021-02-14 13:06:02 upgrade libzstd1:amd64 1.3.8+dfsg-3 1.3.8+dfsg-3+deb10u1
2021-02-14 13:06:02 status half-configured libzstd1:amd64 1.3.8+dfsg-3
2021-02-14 13:06:02 status unpacked libzstd1:amd64 1.3.8+dfsg-3
2021-02-14 13:06:02 status half-installed libzstd1:amd64 1.3.8+dfsg-3
2021-02-14 13:06:02 status unpacked libzstd1:amd64 1.3.8+dfsg-3+deb10u1
2021-02-14 13:06:03 startup packages configure
2021-02-14 13:06:03 configure libzstd1:amd64 1.3.8+dfsg-3+deb10u1 <none>
2021-02-14 13:06:03 status unpacked libzstd1:amd64 1.3.8+dfsg-3+deb10u1
2021-02-14 13:06:03 status half-configured libzstd1:amd64 1.3.8+dfsg-3+deb10u1
2021-02-14 13:06:03 status installed libzstd1:amd64 1.3.8+dfsg-3+deb10u1
2021-02-14 13:06:03 startup archives unpack
2021-02-14 13:06:03 upgrade tzdata:all 2020e-0+deb10u1 2021a-0+deb10u1
2021-02-14 13:06:03 status half-configured tzdata:all 2020e-0+deb10u1
2021-02-14 13:06:03 status unpacked tzdata:all 2020e-0+deb10u1
2021-02-14 13:06:03 status half-installed tzdata:all 2020e-0+deb10u1
2021-02-14 13:06:10 status unpacked tzdata:all 2021a-0+deb10u1
2021-02-14 13:06:10 upgrade file:amd64 1:5.35-4+deb10u1 1:5.35-4+deb10u2
2021-02-14 13:06:10 status half-configured file:amd64 1:5.35-4+deb10u1
2021-02-14 13:06:10 status unpacked file:amd64 1:5.35-4+deb10u1
2021-02-14 13:06:10 status half-installed file:amd64 1:5.35-4+deb10u1
2021-02-14 13:06:10 status unpacked file:amd64 1:5.35-4+deb10u2
2021-02-14 13:06:10 upgrade libmagic1:amd64 1:5.35-4+deb10u1 1:5.35-4+deb10u2
2021-02-14 13:06:10 status half-configured libmagic1:amd64 1:5.35-4+deb10u1
2021-02-14 13:06:10 status unpacked libmagic1:amd64 1:5.35-4+deb10u1
2021-02-14 13:06:10 status half-installed libmagic1:amd64 1:5.35-4+deb10u1
2021-02-14 13:06:10 status unpacked libmagic1:amd64 1:5.35-4+deb10u2
2021-02-14 13:06:10 upgrade libmagic-mgc:amd64 1:5.35-4+deb10u1 1:5.35-4+deb10u2
2021-02-14 13:06:10 status half-configured libmagic-mgc:amd64 1:5.35-4+deb10u1
2021-02-14 13:06:10 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u1
2021-02-14 13:06:10 status half-installed libmagic-mgc:amd64 1:5.35-4+deb10u1
2021-02-14 13:06:10 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u2
2021-02-14 13:06:11 upgrade libldap-common:all 2.4.47+dfsg-3+deb10u4 2.4.47+dfsg-3+deb10u5
